[10:53:46.012929] (script)	chatlisting.lua: -10059521   |   Срок действия вашей страховки на здоровье закончился
[11:03:08.345334] (script)	chatlisting.lua: -100684886   |   [H] Dmitry Dusk[113]: повторно - есть
[11:03:13.394282] (script)	chatlisting.lua: -10059521   |   Вопросов на данный момент нет
[11:03:13.401270] (script)	chatlisting.lua: -1616928769   |   Используйте: /ans [id игрока] [текст]
[11:03:14.605088] (script)	chatlisting.lua: -10059521   |   Вопросов на данный момент нет
[11:03:14.607085] (script)	chatlisting.lua: -1616928769   |   Используйте: /ans [id игрока] [текст]
[11:03:23.039379] (script)	chatlisting.lua: -100684886   |   [H] Dmitry Dusk[113]: мы вообще не на те говорим
[11:03:33.822096] (script)	chatlisting.lua: -1   |   {8914dc}[Вопрос] Collin Backer[111]: {FFFFFF}как включить двигатель на тплпфоне?
[11:03:34.916941] (script)	chatlisting.lua: -1   |   {8914dc}[Вопрос] Michael Smit[161]: {FFFFFF}как превозит груз и какоц нужен лвл
[11:03:36.670783] (script)	chatlisting.lua: 6921   1   {6333FF}Рассмотрение вопроса от 16.07.2022 11:03:38   Ответить   Игнор   {b2b2b2}Вопрос от Collin_Backer[111]: {ffffff}как включить двигатель на тплпфоне?
[11:03:54.098338] (script)	chatlisting.lua: -1   |   {c26eff}Помощник Yasuo Kudo[2] ответил игроку Collin Backer[111]: {ffffff}/phone- MyCar.
[11:04:12.430837] (script)	chatlisting.lua: -1   |   {C26EFF}Помощник Dmitry Dusk[113] ответил игроку Michael Smit[161]: {FFFFFF}Чтобы трудоустроиться дальнобойщиком требуется пятый уровень. Коман-
[11:04:12.434827] (script)	chatlisting.lua: -1   |   да /trucker предлагает варианты перевозок.
